SPP,Month,Day,Year,PERCENT,PLANTS,nplants_flushing,Angle
ingasa,Jun,1,2002,8.1633,49,4,150
ingasa,Jul,1,2002,0,49,0,180
ingasa,Aug,1,2002,13.6364,44,6,210
ingasa,Sep,1,2002,18,50,9,240
ingasa,Oct,1,2002,18.3673,50,9.2,270
ingasa,Nov,1,2002,8.3333,48,4,300
ingasa,Dec,1,2002,8,50,4,330
ingasa,Jan,1,2003,28.5714,49,14,0
ingasa,Feb,1,2003,4.0816,49,2,30
ingasa,Mar,1,2003,10.8696,46,5,60
ingasa,Apr,1,2003,2.1277,47,1,90
ingasa,May,1,2003,36.5385,52,19,120
ingasa,Jun,1,2003,3.8462,52,2,150
ingasa,Jul,1,2003,5.5556,54,3,180
ingasa,Aug,1,2003,0,48,0,210
ingasa,Sep,1,2003,12.2449,49,6,240
ingasa,Oct,1,2003,27.0833,48,13,270
ingasa,Nov,1,2003,6.1224,49,3,300
ingasa,Dec,1,2003,12.766,47,6,330
ingasa,Jan,1,2004,36.7347,49,18,0
ingasa,Feb,1,2004,22.9167,48,11,30
ingasa,Mar,1,2004,2.1277,47,1,60
ingasa,Apr,1,2004,12,50,6,90
ingasa,May,1,2004,22,50,11,120
ingasa,Jun,1,2004,22,50,11,150
ingasa,Jul,1,2004,6.25,48,3,180
ingasa,Aug,1,2004,14.2857,49,7,210
ingasa,Sep,1,2004,21.2766,47,10,240
ingasa,Oct,1,2004,59.5745,47,28,270
ingasa,Nov,1,2004,16.3265,49,8,300
